"행정구역","2024년06월_계_총인구수","2024년06월_계_연령구간인구수","2024년06월_계_0세"
"서울특별시 송파구 위례동(1171064700)","45,021","294","294"
"서울특별시 송파구 잠실본동(1171065000)","27,682","69","69"
"서울특별시 송파구 잠실2동(1171067000)","34,862","113","113"
"서울특별시 송파구 잠실3동(1171068000)","33,829","134","134"
"서울특별시 송파구 잠실4동(1171069000)","21,088","84","84"
"서울특별시 송파구 잠실6동(1171071000)","16,429","66","66"
"서울특별시 송파구 잠실7동(1171072000)","9,371","43","43"
"서울특별시 강동구 (1174000000)","462,646","2,190","2,190"
"서울특별시 강동구 강일동(1174051500)","34,600","198","198"
"서울특별시 강동구 상일제1동(1174052500)","39,261","226","226"
"서울특별시 강동구 상일제2동(1174052600)","13,627","62","62"
"서울특별시 강동구 명일제1동(1174053000)","25,090","155","155"
"서울특별시 강동구 명일제2동(1174054000)","16,834","47","47"
